step,train_acc
0,0.0859375
100,0.734375
200,0.7890625
300,0.84375
400,0.84375
500,0.84375
600,0.8828125
700,0.9375
800,0.8671875
900,0.890625
1000,0.9140625
1100,0.890625
1200,0.8671875
1300,0.890625
1400,0.90625
1500,0.9375
1600,0.9140625
1700,0.890625
1800,0.90625
1900,0.9140625
2000,0.9296875
2100,0.9375
2200,0.9609375
2300,0.9375
2400,0.8984375
2500,0.9375
2600,0.9765625
2700,0.9453125
2800,0.90625
2900,0.9453125
3000,0.90625
3100,0.921875
3200,0.953125
3300,0.9375
3400,0.9609375
3500,0.90625
3600,0.9296875
3700,0.9296875
3800,0.9609375
3900,0.9140625
4000,0.9453125
4100,0.984375
4200,0.9375
4300,0.9453125
4400,0.9375
4500,0.9765625
4600,0.96875
4700,0.984375
4800,0.96875
4900,0.9609375
5000,0.9375
5100,0.9453125
5200,0.953125
5300,0.9453125
5400,0.96875
5500,0.9609375
5600,0.953125
5700,0.9609375
5800,0.9296875
5900,0.9765625
6000,0.984375
6100,0.9765625
6200,0.96875
6300,0.9375
6400,0.984375
6500,0.9765625
6600,0.96875
6700,0.9765625
6800,0.96875
6900,0.9765625
7000,0.9921875
7100,0.9921875
7200,0.9921875
7300,1.0
7400,0.984375
7500,0.984375
7600,0.9765625
7700,0.96875
7800,1.0
7900,0.9765625
8000,0.96875
8100,0.9609375
8200,0.9765625
8300,0.9921875
8400,0.984375
8500,0.984375
8600,0.984375
8700,0.9921875
8800,1.0
8900,0.9765625
9000,0.9765625
9100,0.96875
9200,0.9921875
9300,0.984375
9400,0.984375
9500,0.984375
9600,1.0
9700,0.9765625
9800,1.0
9900,0.984375
10000,0.9921875
10100,0.953125
10200,0.9921875
10300,0.9921875
10400,1.0
10500,0.984375
10600,0.9921875
10700,0.9765625
10800,1.0
10900,0.96875
11000,0.9921875
11100,1.0
11200,0.9921875
11300,0.9921875
11400,1.0
11500,0.9921875
11600,0.9921875
11700,0.984375
11800,1.0
11900,1.0
12000,0.9921875
12100,1.0
12200,1.0
12300,1.0
12400,0.9921875
12500,0.984375
12600,1.0
12700,0.9765625
12800,0.9921875
12900,0.9921875
13000,0.9921875
13100,0.9921875
13200,0.984375
13300,0.9921875
13400,0.9921875
13500,0.984375
13600,1.0
13700,1.0
13800,0.9921875
13900,1.0
14000,1.0
14100,1.0
14200,0.984375
14300,0.9921875
14400,1.0
14500,0.9921875
14600,1.0
14700,0.9921875
14800,1.0
14900,0.984375
15000,0.9921875
15100,1.0
15200,0.9921875
15300,0.984375
15400,1.0
15500,0.9921875
15600,0.9921875
15700,1.0
15800,1.0
15900,0.9921875
16000,1.0
16100,0.9921875
16200,1.0
16300,1.0
16400,0.9921875
16500,1.0
16600,1.0
16700,1.0
16800,1.0
16900,1.0
17000,0.9921875
17100,1.0
17200,1.0
17300,1.0
17400,1.0
17500,0.984375
17600,0.9921875
17700,1.0
17800,1.0
17900,0.9921875
18000,0.9921875
18100,0.9921875
18200,0.984375
18300,0.9921875
18400,0.9921875
18500,0.9921875
18600,1.0
18700,1.0
18800,1.0
18900,1.0
19000,1.0
19100,1.0
19200,1.0
19300,0.9921875
19400,1.0
19500,1.0
19600,0.984375
19700,0.9765625
19800,0.984375
19900,1.0
20000,1.0
20100,1.0
20200,0.9921875
20300,1.0
20400,1.0
20500,0.9921875
20600,1.0
20700,1.0
20800,1.0
20900,1.0
21000,1.0
21100,1.0
21200,1.0
21300,0.984375
21400,0.9921875
