step,train_acc
0,0.1171875
100,0.8046875
200,0.84375
300,0.8203125
400,0.8359375
500,0.859375
600,0.8671875
700,0.8671875
800,0.8671875
900,0.90625
1000,0.90625
1100,0.921875
1200,0.875
1300,0.890625
1400,0.8515625
1500,0.8828125
1600,0.9140625
1700,0.9140625
1800,0.9140625
1900,0.9140625
2000,0.9140625
2100,0.9140625
2200,0.890625
2300,0.9453125
2400,0.9296875
2500,0.9375
2600,0.9375
2700,0.9375
2800,0.9296875
2900,0.890625
3000,0.921875
3100,0.96875
3200,0.9375
3300,0.921875
3400,0.921875
3500,0.9609375
3600,0.9296875
3700,0.9375
3800,0.9453125
3900,0.921875
4000,0.9453125
4100,0.9140625
4200,0.96875
4300,0.9609375
4400,0.953125
4500,0.9609375
4600,0.9453125
4700,0.9765625
4800,0.953125
4900,0.9765625
5000,0.953125
5100,0.953125
5200,0.9609375
5300,0.9453125
5400,0.953125
5500,0.9453125
5600,0.9609375
5700,0.96875
5800,0.9765625
5900,0.9765625
6000,0.9375
6100,0.9453125
6200,0.984375
6300,0.9296875
6400,0.9609375
6500,1.0
6600,0.9765625
6700,0.9609375
6800,0.9765625
6900,0.9765625
7000,0.9765625
7100,0.96875
7200,0.9921875
7300,0.984375
7400,0.9453125
7500,0.96875
7600,0.953125
7700,0.984375
7800,0.9765625
7900,0.9765625
8000,0.96875
8100,0.9921875
8200,0.984375
8300,0.984375
8400,0.9921875
8500,0.9609375
8600,0.9921875
8700,0.9921875
8800,0.984375
8900,0.9765625
9000,1.0
9100,1.0
9200,0.9921875
9300,0.9609375
9400,0.96875
9500,0.9921875
9600,0.984375
9700,1.0
9800,0.9921875
9900,0.9921875
10000,0.984375
10100,0.9921875
10200,0.9921875
10300,0.984375
10400,1.0
10500,1.0
10600,0.9921875
10700,0.96875
10800,0.9765625
10900,1.0
11000,1.0
11100,0.9921875
11200,0.9921875
11300,0.984375
11400,0.984375
11500,0.984375
11600,0.9921875
11700,0.984375
11800,0.9921875
11900,0.9921875
12000,1.0
12100,1.0
12200,1.0
12300,0.9921875
12400,0.9765625
12500,1.0
12600,0.9921875
12700,0.9765625
12800,0.9921875
12900,0.9921875
13000,1.0
13100,1.0
13200,0.9921875
13300,1.0
13400,1.0
13500,0.9921875
13600,1.0
13700,0.9921875
13800,1.0
13900,1.0
14000,0.984375
14100,1.0
14200,1.0
14300,0.9921875
14400,1.0
14500,1.0
14600,0.9921875
14700,0.9921875
14800,1.0
14900,1.0
15000,1.0
15100,1.0
15200,1.0
15300,1.0
15400,1.0
15500,0.9921875
15600,1.0
15700,1.0
15800,1.0
15900,1.0
16000,1.0
16100,1.0
16200,1.0
16300,1.0
16400,0.984375
16500,1.0
16600,1.0
16700,1.0
16800,1.0
16900,1.0
17000,1.0
17100,1.0
17200,1.0
17300,1.0
17400,1.0
17500,1.0
17600,0.984375
17700,1.0
17800,1.0
17900,1.0
18000,1.0
18100,1.0
18200,1.0
18300,0.984375
18400,0.9921875
18500,0.984375
18600,1.0
18700,1.0
18800,1.0
18900,1.0
19000,1.0
19100,1.0
19200,1.0
19300,1.0
19400,0.9921875
19500,1.0
19600,1.0
19700,1.0
19800,1.0
19900,1.0
20000,1.0
20100,0.9921875
20200,1.0
20300,0.9921875
20400,0.9921875
20500,1.0
20600,1.0
20700,0.9921875
20800,1.0
20900,1.0
21000,1.0
21100,1.0
21200,1.0
21300,1.0
21400,1.0
