step,train_acc
0,0.078125
100,0.8125
200,0.796875
300,0.8203125
400,0.9296875
500,0.8984375
600,0.8671875
700,0.921875
800,0.875
900,0.8515625
1000,0.875
1100,0.9296875
1200,0.8984375
1300,0.8203125
1400,0.84375
1500,0.8984375
1600,0.8671875
1700,0.9296875
1800,0.8984375
1900,0.8984375
2000,0.9453125
2100,0.9453125
2200,0.9140625
2300,0.8828125
2400,0.921875
2500,0.9375
2600,0.9375
2700,0.9375
2800,0.8671875
2900,0.953125
3000,0.8984375
3100,0.9453125
3200,0.9140625
3300,0.9140625
3400,0.9453125
3500,0.9375
3600,0.9453125
3700,0.90625
3800,0.9609375
3900,0.9453125
4000,0.9375
4100,0.921875
4200,0.9375
4300,0.9765625
4400,0.9453125
4500,0.9296875
4600,0.9296875
4700,0.984375
4800,0.9453125
4900,0.96875
5000,0.9453125
5100,0.921875
5200,0.953125
5300,0.953125
5400,0.953125
5500,0.953125
5600,0.984375
5700,0.96875
5800,0.9765625
5900,0.9609375
6000,0.953125
6100,0.96875
6200,0.9921875
6300,0.9765625
6400,0.9765625
6500,0.9609375
6600,0.9921875
6700,0.953125
6800,0.953125
6900,0.9921875
7000,0.9765625
7100,0.96875
7200,0.9765625
7300,0.9921875
7400,0.9765625
7500,0.9921875
7600,0.984375
7700,0.9765625
7800,0.984375
7900,0.9921875
8000,0.9609375
8100,0.9921875
8200,0.984375
8300,0.9921875
8400,0.9921875
8500,0.984375
8600,0.9921875
8700,0.984375
8800,0.984375
8900,0.9921875
9000,1.0
9100,0.96875
9200,0.9765625
9300,0.984375
9400,0.984375
9500,0.9921875
9600,1.0
9700,0.9921875
9800,0.9921875
9900,0.984375
10000,1.0
10100,0.984375
10200,0.9921875
10300,0.9921875
10400,0.9921875
10500,0.9921875
10600,0.9921875
10700,0.9921875
10800,1.0
10900,0.9921875
11000,1.0
11100,1.0
11200,0.9921875
11300,0.9921875
11400,1.0
11500,0.9921875
11600,0.9765625
11700,0.9921875
11800,0.9921875
11900,0.9921875
12000,1.0
12100,0.9921875
12200,0.9921875
12300,1.0
12400,0.984375
12500,1.0
12600,1.0
12700,1.0
12800,0.9921875
12900,1.0
13000,1.0
13100,1.0
13200,0.984375
13300,0.9921875
13400,1.0
13500,1.0
13600,1.0
13700,1.0
13800,1.0
13900,1.0
14000,0.984375
14100,0.9921875
14200,1.0
14300,0.9921875
14400,1.0
14500,1.0
14600,1.0
14700,1.0
14800,0.9921875
14900,1.0
15000,0.9921875
15100,1.0
15200,1.0
15300,0.984375
15400,1.0
15500,0.9921875
15600,1.0
15700,1.0
15800,0.984375
15900,1.0
16000,0.9921875
16100,1.0
16200,1.0
16300,1.0
16400,1.0
16500,0.9921875
16600,1.0
16700,1.0
16800,1.0
16900,1.0
17000,1.0
17100,1.0
17200,1.0
17300,0.984375
17400,0.9921875
17500,1.0
17600,1.0
17700,1.0
17800,0.984375
17900,1.0
18000,1.0
18100,1.0
18200,1.0
18300,1.0
18400,0.9921875
18500,1.0
18600,1.0
18700,1.0
18800,1.0
18900,1.0
19000,1.0
19100,1.0
19200,1.0
19300,1.0
19400,0.9921875
19500,1.0
19600,1.0
19700,1.0
19800,1.0
19900,1.0
20000,1.0
20100,1.0
20200,1.0
20300,1.0
20400,1.0
20500,1.0
20600,1.0
20700,1.0
20800,1.0
20900,0.9921875
21000,1.0
21100,1.0
21200,0.984375
21300,1.0
21400,1.0
